rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__l1_ratio,params,split0_test_score,split0_train_score
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.01060938835144043,0.0,0.002074718475341797,0.0,100,0.6000000000000001,"{'model__alpha': 100, 'model__l1_ratio': 0.6000000000000001}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.0070493221282958984,0.0,0.0020525455474853516,0.0,100,0.7000000000000001,"{'model__alpha': 100, 'model__l1_ratio': 0.7000000000000001}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.007231712341308594,0.0,0.0023872852325439453,0.0,100,0.8,"{'model__alpha': 100, 'model__l1_ratio': 0.8}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.006941080093383789,0.0,0.002106189727783203,0.0,100,0.9,"{'model__alpha': 100, 'model__l1_ratio': 0.9}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.006882667541503906,0.0,0.0020775794982910156,0.0,100,1.0,"{'model__alpha': 100, 'model__l1_ratio': 1.0}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.006327152252197266,0.0,0.0021598339080810547,0.0,1000,0.1,"{'model__alpha': 1000, 'model__l1_ratio': 0.1}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.007338762283325195,0.0,0.0022172927856445312,0.0,1000,0.2,"{'model__alpha': 1000, 'model__l1_ratio': 0.2}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.007269859313964844,0.0,0.0020117759704589844,0.0,1000,0.30000000000000004,"{'model__alpha': 1000, 'model__l1_ratio': 0.30000000000000004}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.00701451301574707,0.0,0.002001523971557617,0.0,1000,0.4,"{'model__alpha': 1000, 'model__l1_ratio': 0.4}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.0068454742431640625,0.0,0.002207040786743164,0.0,1000,0.5,"{'model__alpha': 1000, 'model__l1_ratio': 0.5}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.0070629119873046875,0.0,0.0019805431365966797,0.0,1000,0.6000000000000001,"{'model__alpha': 1000, 'model__l1_ratio': 0.6000000000000001}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.0067539215087890625,0.0,0.0019655227661132812,0.0,1000,0.7000000000000001,"{'model__alpha': 1000, 'model__l1_ratio': 0.7000000000000001}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.006842851638793945,0.0,0.002009868621826172,0.0,1000,0.8,"{'model__alpha': 1000, 'model__l1_ratio': 0.8}",-0.9077637051865229,-0.9999999999999999
